catalog_id,list_id,item_id,list_name,sku,product_name,shop_id,mis_item_id,size
32875,54107,421718,GSPORTS2,1823GSA006F4,ST02437B GSPORTS2 1823GSA006F4 - KOBE SHOE COLLECTION PROOF 17.5x23,ST02437B_17.5x23,197-3,17.5x23
32875,54107,421717,GSPORTS2,1218GSA006F3,ST02437PXA GSPORTS2 1218GSA006F3 - KOBE SHOE COLLECTION PROOF 12x18,ST02437PXA_12x18,197-2,12x18
32875,54107,421752,GSPORTS2,1823JDSCF4,ST02455B GSPORTS2 1823JDSCF4 - JORDAN SHOE COLLECTION PROOF 17.5x23,ST02455B_17.5x23,197-3,17.5x23
32875,54107,421753,GSPORTS2,1218JDSCF3,ST02455PXA GSPORTS2 1218JDSCF3 - JORDAN SHOE COLLECTION PROOF 12x18,ST02455PXA_12x18,197-2,12x18
32875,54107,421755,GSPORTS2,1823KOBE07F4,ST02456B GSPORTS2 1823KOBE07F4 - MJ LEBRON REMEMBER PROOF 17.5x23,ST02456B_17.5x23,197-3,17.5x23
32875,54107,421754,GSPORTS2,1218KOBE07F3,ST02456PXA GSPORTS2 1218KOBE07F3 - MJ LEBRON REMEMBER PROOF 12x18,ST02456PXA_12x18,197-2,12x18
32875,54107,421756,GSPORTS2,1823MJFTF4,ST02457B GSPORTS2 1823MJFTF4 - MJ FREE THROW PROOF 17.5x23,ST02457B_17.5x23,197-3,17.5x23
32875,54107,421757,GSPORTS2,1218MJFTF3,ST02457PXA GSPORTS2 1218MJFTF3 - MJ FREE THROW PROOF 12x18,ST02457PXA_12x18,197-2,12x18
32875,54107,421758,GSPORTS2,1823MJTLF4,ST02458B GSPORTS2 1823MJTLF4 - MJ TIMELINE PROOF 17.5x23,ST02458B_17.5x23,197-3,17.5x23
32875,54107,421759,GSPORTS2,1218MJTLF3,ST02458PA GSPORTS2 1218MJTLF3 - MJ TIMELINE PROOF 12x18,ST02458PA_12x18,197-2,12x18
,52366,408305,PRBGS,PR463,ST0876 PRBGS SB58.5SCKCC - Super Bowl 2024 Score PROOF 12x18 in,ST0876_12x18,,
,52366,408306,PRBGS,PR463,ST0876 PRBGS SB58.5SCKCC - Super Bowl 2024 Score PROOF 17.5x23 in,ST0876_17.5x23,,
,52366,408298,PRBGS,PR463,ST0876 PRBGS SB58.5SCKCC - Super Bowl 2024 Score PROOF 23x35 in,ST0876_23x35,,
32857,54126,427573,ANIME,17523FANPARI,SW10001PB ANIME 17523FANPARI - AIRIZONA CARDINALS ANIME PRINT PROOF 17.5x23,SW10001PB,197-3,17.5x23
32857,54126,425745,ANIME,1218FANPARI,SW10001PXA ANIME 1218FANPARI - AIRIZONA CARDINALS ANIME PRINT PROOF 12x18,SW10001PXA,197-2,12x18
32857,54126,427574,ANIME,17523FANPATL,SW10002PB ANIME 17523FANPATL - ATLANTA FALCONS ANIME PRINT PROOF 17.5x23,SW10002PB,197-3,17.5x23
32857,54126,425746,ANIME,1218FANPATL,SW10002PXA ANIME 1218FANPATL - ATLANTA FALCONS ANIME PRINT PROOF 12x18,SW10002PXA,197-2,12x18
32857,54126,427575,ANIME,17523FANPBAL,SW10003PB ANIME 17523FANPBAL - BALTIMORE RAVENS ANIME PRINT PROOF 17.5x23,SW10003PB,197-3,17.5x23
32857,54126,425747,ANIME,1218FANPBAL,SW10003PXA ANIME 1218FANPBAL - BALTIMORE RAVENS ANIME PRINT PROOF 12x18,SW10003PXA,197-2,12x18
32857,54126,427576,ANIME,17523FANPBUF,SW10004PB ANIME 17523FANPBUF - BUFFALO BILLS ANIME PRINT PROOF 17.5x23,SW10004PB,197-3,17.5x23
32857,54126,425748,ANIME,1218FANPBUF,SW10004PXA ANIME 1218FANPBUF - BUFFALO BILLS ANIME PRINT PROOF 12x18,SW10004PXA,197-2,12x18
32857,54126,427577,ANIME,17523FANPCAR,SW10005PB ANIME 17523FANPCAR - CAROLINA PANTHERS ANIME PRINT PROOF 17.5x23,SW10005PB,197-3,17.5x23
32857,54126,425749,ANIME,1218FANPCAR,SW10005PXA ANIME 1218FANPCAR - CAROLINA PANTHERS ANIME PRINT PROOF 12x18,SW10005PXA,197-2,12x18
32857,54126,427578,ANIME,17523FANPCHI,SW10006PB ANIME 17523FANPCHI - CHICAGO BEARS ANIME PRINT PROOF 17.5x23,SW10006PB,197-3,17.5x23
32857,54126,425750,ANIME,1218FANPCHI,SW10006PXA ANIME 1218FANPCHI - CHICAGO BEARS ANIME PRINT PROOF 12x18,SW10006PXA,197-2,12x18
32857,54126,427579,ANIME,17523FANPCIN,SW10007PB ANIME 17523FANPCIN - CINCINNATI BENGARTLS ANIME PRINT PROOF 17.5x23,SW10007PB,197-3,17.5x23
32857,54126,425751,ANIME,1218FANPCIN,SW10007PXA ANIME 1218FANPCIN - CINCINNATI BENGARTLS ANIME PRINT PROOF 12x18,SW10007PXA,197-2,12x18
32857,54126,427580,ANIME,17523FANPCLE,SW10008PB ANIME 17523FANPCLE - CLEVELAND BROWNS ANIME PRINT PROOF 17.5x23,SW10008PB,197-3,17.5x23
